Date : 2023-03-06 16:07:51
Directory : c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile
Total : 39 files,  22368 codes, 188 comments, 164 blanks, all 22720 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| ios\rentacarMobile\Images.xcassets                                                                                                       |          2 |         59 |          0 |          2 |         61 |
| ios\rentacarMobile\Images.xcassets (Files)                                                                                               |          1 |          6 |          0 |          1 |          7 |
| ios\rentacarMobile\Images.xcassets\AppIcon.appiconset                                                                                    |          1 |         53 |          0 |          1 |         54 |
| src                                                                                                                                      |          5 |         65 |          0 |         20 |         85 |
| src\navigation                                                                                                                           |          1 |         21 |          0 |          4 |         25 |
| src\screens                                                                                                                              |          4 |         44 |          0 |         16 |         60 |
| src\screens\Discover                                                                                                                     |          1 |         11 |          0 |          4 |         15 |
| src\screens\Favorite                                                                                                                     |          1 |         11 |          0 |          4 |         15 |
| src\screens\Profile                                                                                                                      |          1 |         11 |          0 |          4 |         15 |
| src\screens\Search                                                                                                                       |          1 |         11 |          0 |          4 |         15 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\.eslintrc.js                                                            | JavaScript         |          4 |          0 |          1 |          5 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\.prettierrc.js                                                          | JavaScript         |          7 |          0 |          1 |          8 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\.watchmanconfig                                                         | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\App.tsx                                                                 | TypeScript JSX     |         15 |          0 |          3 |         18 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\__tests__\App-test.tsx                                                  | TypeScript JSX     |          7 |          4 |          4 |         15 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\app\build.gradle                                                | Groovy             |         75 |         75 |         21 |        171 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\app\src\debug\AndroidManifest.xml                               | XML                |         11 |          0 |          3 |         14 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\app\src\debug\java\com\rentacarmobile\ReactNativeFlipper.java   | Java               |         58 |         12 |          6 |         76 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\app\src\main\AndroidManifest.xml                                | XML                |         23 |          0 |          3 |         26 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\app\src\main\java\com\rentacarmobile\MainActivity.java          | Java               |         20 |         11 |          5 |         36 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\app\src\main\java\com\rentacarmobile\MainApplication.java       | Java               |         50 |          3 |         10 |         63 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\app\src\main\res\drawable\rn_edit_text_material.xml             | XML                |         11 |         23 |          3 |         37 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\app\src\main\res\values\strings.xml                             | XML                |          3 |          0 |          1 |          4 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\app\src\main\res\values\styles.xml                              | XML                |          5 |          2 |          3 |         10 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\app\src\release\java\com\rentacarmobile\ReactNativeFlipper.java | Java               |          7 |         11 |          3 |         21 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\build.gradle                                                    | Groovy             |         17 |          2 |          3 |         22 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\gradle.properties                                               | Properties         |          7 |         28 |         10 |         45 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\gradle\wrapper\gradle-wrapper.properties                        | Properties         |          5 |          0 |          1 |          6 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\gradlew.bat                                                     | Batch              |         68 |          0 |         22 |         90 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\android\settings.gradle                                                 | Groovy             |          4 |          0 |          1 |          5 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\app.json                                                                | JSON               |          4 |          0 |          0 |          4 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\babel.config.js                                                         | JavaScript         |          3 |          0 |          1 |          4 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\index.js                                                                | JavaScript         |          4 |          3 |          3 |         10 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\ios\rentacarMobileTests\rentacarMobileTests.m                           | Objective-C        |         53 |          0 |         14 |         67 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\ios\rentacarMobile\AppDelegate.h                                        | C++                |          4 |          0 |          3 |          7 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\ios\rentacarMobile\AppDelegate.mm                                       | Objective-C++      |         22 |          7 |          8 |         37 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\ios\rentacarMobile\Images.xcassets\AppIcon.appiconset\Contents.json     | JSON               |         53 |          0 |          1 |         54 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\ios\rentacarMobile\Images.xcassets\Contents.json                        | JSON               |          6 |          0 |          1 |          7 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\ios\rentacarMobile\LaunchScreen.storyboard                              | XML                |         46 |          1 |          1 |         48 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\ios\rentacarMobile\main.m                                               | Objective-C        |          8 |          0 |          3 |         11 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\metro.config.js                                                         | JavaScript         |         10 |          6 |          2 |         18 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\package-lock.json                                                       | JSON               |     21,648 |          0 |          1 |     21,649 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\package.json                                                            | JSON               |         41 |          0 |          1 |         42 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\src\navigation\index.tsx                                                | TypeScript JSX     |         21 |          0 |          4 |         25 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\src\screens\Discover\index.tsx                                          | TypeScript JSX     |         11 |          0 |          4 |         15 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\src\screens\Favorite\index.tsx                                          | TypeScript JSX     |         11 |          0 |          4 |         15 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\src\screens\Profile\index.tsx                                           | TypeScript JSX     |         11 |          0 |          4 |         15 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\src\screens\Search\index.tsx                                            | TypeScript JSX     |         11 |          0 |          4 |         15 |
| c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile\tsconfig.json                                                           | JSON with Comments |          3 |          0 |          1 |          4 |
| Total                                                                                                                                    |                    |     22,368 |        188 |        164 |     22,720 |
+------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
